City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,kattivakkam,13.2167,80.3167,26.65,99,3,3.39,IN,1733449669
231,kapa'a,22.0752,-159.319,22.33,93,100,5.14,US,1733449670
232,lubang,13.8584,120.124,27.72,79,84,7.55,PH,1733449671
233,urucui,-7.2294,-44.5561,24.47,70,0,2.31,BR,1733449673
234,puerto baquerizo moreno,-0.9,-89.6,22.57,86,74,3.41,EC,1733449674
235,maksatikha,57.797,35.8825,-5.38,83,94,3.63,RU,1733449675
236,holualoa,19.6228,-155.9522,25.91,74,0,3.6,US,1733449677
237,naracoorte,-36.9579,140.7383,19.25,90,100,3.7,AU,1733449678
238,lorengau,-2.0226,147.2712,28.31,83,100,7.04,PG,1733449679
239,tanah rata,4.475,101.3704,20.86,65,87,0.61,MY,1733449680
240,dembi dolo,8.5333,34.8,14.94,65,14,1.77,ET,1733449681
241,lieksa,63.3167,30.0167,-2.81,83,99,6.24,FI,1733449683
242,tondano,1.3038,124.9112,26.05,55,99,1.82,ID,1733449684
243,al burayqah,30.4062,19.5739,15.84,48,27,6.12,LY,1733449685
244,undurkhaan,47.3194,110.6556,-10.77,66,80,3.99,MN,1733449344
245,mhamid,29.82,-5.72,14.39,43,74,1.87,MA,1733449687
246,kingston,17.997,-76.7936,26.53,83,40,1.54,JM,1733449670
247,guerrero negro,27.9769,-114.0611,15.3,87,0,4.62,MX,1733449690
248,argo,37.6333,22.7333,12.32,93,100,2.86,GR,1733449608
249,kegen,43.0197,79.2203,-14.48,78,2,2.53,KZ,1733449692
250,pionerskiy,54.9508,20.2275,0.91,79,95,8.65,RU,1733449693
251,el calafate,-50.3408,-72.2768,8.04,56,70,1.91,AR,1733449694
252,norilsk,69.3535,88.2027,-20.02,99,100,2.16,RU,1733449697
253,puerto deseado,-47.7503,-65.8938,7.23,59,10,6.13,AR,1733449698
254,mersing,2.4312,103.8405,27.95,83,20,2.06,MY,1733449699
255,mariehamn,60.0973,19.9348,0.92,86,40,2.06,AX,1733449700
256,nowshahr,36.649,51.496,10.97,87,20,1.03,IR,1733449702
257,fort bragg,35.139,-79.006,7.75,27,0,6.69,US,1733449604
258,fada,7.25,4.0667,20.65,80,9,0.62,NG,1733449704
259,whitehorse,60.7161,-135.0538,4.43,75,75,9.26,CA,1733449588
260,guaruja,-23.9931,-46.2564,22.72,26,91,0.81,BR,1733449507
261,dakhla,23.6848,-15.958,22.15,48,100,5.39,EH,1733449708
262,east london,-33.0153,27.9116,19.11,71,100,2.99,ZA,1733449709
263,pacific grove,36.6177,-121.9166,14.06,87,0,2.06,US,1733449710
264,mollendo,-17.0231,-72.0147,19.15,84,100,2.51,PE,1733449711
265,nizhnevartovsk,60.9344,76.5531,-3.99,86,100,3.0,RU,1733449712
266,tazovsky,67.4667,78.7,-17.34,97,89,4.19,RU,1733449714
267,natal,-5.795,-35.2094,27.12,74,20,5.14,BR,1733449530
268,san patricio,28.017,-97.5169,16.97,83,100,5.59,US,1733449716
269,qal'ah-ye shahr,35.5473,65.5676,-3.13,46,0,2.67,AF,1733449717
